12	1	0.365
12	2	0.257
12	3	0.218
12	4	0.509
12	5	0.586
12	6	0.128
12	7	0.016
12	8	-0.279
12	9	-0.223
12	10	-0.134
12	11	-0.265
12	12	-0.324
12	13	-0.579
12	14	-0.629
12	15	-0.527
12	16	-0.503
12	17	-0.301
12	18	0.909
12	19	1.048
12	20	0.351
12	21	0.214
12	22	1.879
12	23	3.418
12	24	4.223
12	25	6.745
12	26	9.848
12	27	12.896
12	28	16.678
12	29	19.268
12	30	21.360
12	31	23.972
12	32	27.619
12	33	29.574
12	34	30.573
12	35	30.944
12	36	32.236
12	37	34.384
12	38	35.037
12	39	36.140
12	40	36.814
36	1	0.181
36	2	0.024
36	3	0.032
36	4	0.028
36	5	-0.057
36	6	-0.035
36	7	0.076
36	8	0.100
36	9	-0.002
36	10	-0.106
36	11	-0.074
36	12	-0.029
36	13	0.000
36	14	-0.011
36	15	-0.023
36	16	0.036
36	17	0.067
36	18	0.080
36	19	0.124
36	20	0.201
36	21	0.459
36	22	0.936
36	23	1.671
36	24	2.691
36	25	4.250
36	26	5.723
36	27	7.696
36	28	9.880
36	29	11.955
36	30	13.825
36	31	15.293
36	32	16.629
36	33	18.028
36	34	19.481
36	35	20.541
36	36	21.852
36	37	23.505
36	38	24.382
36	39	25.073
36	40	26.027
60	1	0.163
60	2	0.134
60	3	0.105
60	4	0.075
60	5	0.039
60	6	-0.005
60	7	0.004
60	8	0.031
60	9	0.048
60	10	-0.057
60	11	-0.172
60	12	-0.206
60	13	-0.166
60	14	-0.034
60	15	0.038
60	16	0.033
60	17	-0.012
60	18	0.129
60	19	0.131
60	20	0.019
60	21	0.026
60	22	0.300
60	23	0.809
60	24	1.586
60	25	2.992
60	26	4.715
60	27	6.399
60	28	8.372
60	29	10.230
60	30	12.123
60	31	14.280
60	32	16.085
60	33	17.780
60	34	19.265
60	35	20.399
60	36	21.696
60	37	22.666
60	38	23.865
60	39	24.489
60	40	25.366
84	1	-0.019
84	2	-0.121
84	3	-0.082
84	4	-0.048
84	5	-0.070
84	6	-0.055
84	7	0.061
84	8	0.103
84	9	0.107
84	10	0.113
84	11	0.019
84	12	-0.011
84	13	-0.020
84	14	-0.001
84	15	-0.002
84	16	-0.004
84	17	-0.040
84	18	-0.069
84	19	-0.035
84	20	0.120
84	21	0.219
84	22	0.356
84	23	0.798
84	24	1.511
84	25	2.468
84	26	3.734
84	27	5.649
84	28	7.676
84	29	9.583
84	30	11.415
84	31	13.122
84	32	14.793
84	33	16.564
84	34	17.867
84	35	19.142
84	36	20.557
84	37	21.202
84	38	22.176
84	39	23.510
84	40	24.297
108	1	0.003
108	2	-0.027
108	3	0.000
108	4	0.001
108	5	-0.004
108	6	0.023
108	7	-0.011
108	8	-0.007
108	9	-0.015
108	10	0.004
108	11	0.060
108	12	0.063
108	13	-0.019
108	14	-0.090
108	15	-0.081
108	16	-0.038
108	17	0.042
108	18	0.061
108	19	0.011
108	20	0.050
108	21	0.152
108	22	0.258
108	23	0.403
108	24	0.717
108	25	1.237
108	26	2.349
108	27	3.610
108	28	5.354
